SK_ID_CURR,PAYMENT_RATE,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,DAYS_BIRTH,DAYS_ID_PUBLISH,DAYS_ID_PUBLISH.1,DAYS_REGISTRATION,DAYS_EMPLOYED,DAYS_EMPLOYED_PERC,AMT_GOODS_PRICE,AMT_CREDIT,AMT_ANNUITY,ANNUITY_INCOME_PERC,REGION_POPULATION_RELATIVE
442412,0.0777196071163825,0.5172965813614878,0.5167079603600613,0.5302037596280517,-13293,-5123,-5123,-3362.0,-896.0,0.067403896787783,360000.0,388512.0,30195.0,0.1491111111111111,0.014464
354538,0.05,0.4400578303966329,0.7015754536163603,0.7434653938504939,-16912,-416,-416,-11055.0,-1626.0,0.0961447492904446,675000.0,675000.0,33750.0,0.15,0.072508
442770,0.0263738317757009,0.7338145369642702,0.5068514748294992,0.5480536896309119,-9868,-2481,-2481,-142.0,-794.0,0.0804620997162545,481500.0,481500.0,12699.0,0.1020172077217844,0.010147
416115,0.0324783730459857,0.6363761710860439,0.722857911193712,0.9127467880098024,-16268,-4402,-4402,-8773.0,-2403.0,0.1477133021883452,495000.0,593010.0,19260.0,0.0856,0.032561
180511,0.066825,0.3474182272002641,0.6700831018349432,0.2077534496335485,-12267,-4451,-4451,-1123.0,-1511.0,0.1231760006521562,360000.0,360000.0,24057.0,0.1527428571428571,0.028663
252537,0.05,0.6910212267577837,0.6123428946707863,0.8720740576124757,-19017,-2567,-2567,-6312.0,-951.0,0.0500078876794447,247500.0,247500.0,12375.0,0.11,0.018634
109439,0.0790010124873439,0.7826078370261895,0.722450309602141,0.8797755992036995,-19213,-2698,-2698,-7662.0,-5591.0,0.2910008848175714,301500.0,333337.5,26334.0,0.1950666666666666,0.072508
451722,0.0483,0.2910973802776635,0.7092097010215302,0.3329855848175029,-12795,-2659,-2659,-6922.0,-972.0,0.0759671746776084,675000.0,675000.0,32602.5,0.1420588235294117,0.035792
261352,0.0331529529816513,0.5884877883422673,0.5484988219000486,0.3638260584242146,-17064,-596,-596,-3503.0,-1921.0,0.1125761837787154,1125000.0,1255680.0,41629.5,0.2151395348837209,0.0060079999999999
346050,0.0512820512820512,0.7636399214572418,0.5723585548466945,0.2328846175365979,-13034,-5587,-5587,-327.0,-662.0,0.0507902409083934,675000.0,835380.0,42840.0,0.136,0.007305
257523,0.0920133246668833,0.5673792367572691,0.4807460688698241,0.6297370995818361,-10117,-2784,-2784,-4929.0,-1981.0,0.1958090342987051,382500.0,443088.0,40770.0,0.2588571428571428,0.018029
303267,0.0517700225960331,0.4311917977993083,0.6108416618610344,0.2101496158377414,-14846,-5100,-5100,-3480.0,-6380.0,0.4297453859625488,121500.0,179235.0,9279.0,0.08248,0.035792
104789,0.0293594230655152,0.375711009574066,0.7465484753234217,0.3535297788270067,-13696,-4429,-4429,-6090.0,-433.0,0.0316150700934579,886500.0,1062027.0,31180.5,0.1979714285714285,0.0038179999999999
365416,0.0714856990516814,0.4686596550493113,0.553351717354198,0.2251160576972667,-12628,-669,-669,-242.0,-2087.0,0.1652676591700982,306000.0,354469.5,25339.5,0.1877,0.006852
383674,0.0322593210907067,0.0545839935176224,0.6385328663409771,0.4464471110297554,-17851,-1385,-1385,-3283.0,-4271.0,0.2392583048568707,675000.0,808650.0,26086.5,0.3051052631578947,0.0105
225749,0.036900389538119,0.3606125659189888,0.1621921059592286,0.3562233278836568,-12877,-49,-49,-3150.0,-806.0,0.0625922186844762,675000.0,808650.0,29839.5,0.33155,0.025164
131635,0.0514153739749036,0.6545292802242897,0.5831873700119162,0.6677885908551539,-14888,-4574,-4574,-2376.0,-3965.0,0.2663218699623858,261000.0,364356.0,18733.5,0.1387666666666666,0.0035409999999999
186232,0.0275,0.5064842396679806,0.4979572759472406,0.8470765262863011,-19495,-2947,-2947,-5145.0,-1678.0,0.0860733521415747,1305000.0,1305000.0,35887.5,0.1139285714285714,0.031329
131575,0.08554,0.3606125659189888,0.5779476733259378,0.2446547318274689,-12024,-1249,-1249,-4885.0,-210.0,0.0174650698602794,225000.0,225000.0,19246.5,0.106925,0.018029
395531,0.0292396144036657,0.7713615919194317,0.6321748229764952,0.6281899542137304,-15187,-4378,-4378,-4385.0,-5231.0,0.3444393231052874,909000.0,1040985.0,30438.0,0.27056,0.006207
441200,0.02924,0.4241303111942548,0.5725030635273678,0.5576790614044793,-15834,-4679,-4679,-7836.0,-919.0,0.0580396614879373,1125000.0,1125000.0,32895.0,0.2436666666666666,0.019101
444463,0.046822272215973,0.501075160239048,0.6956869199321644,0.2130531898135664,-10448,-2350,-2350,-2359.0,-1404.0,0.1343797856049004,450000.0,640080.0,29970.0,0.1665,0.035792
360757,0.0348439340400471,0.248535557339522,0.5303985540809941,0.6554147306720459,-14991,-4171,-4171,-9140.0,-2387.0,0.1592288706557267,1350000.0,1528200.0,53248.5,0.23666,0.009549
399332,0.05444,0.2636468134452008,0.6452032537165029,0.6607391850381164,-11157,-3611,-3611,-487.0,-1338.0,0.1199247109438021,675000.0,675000.0,36747.0,0.1361,0.026392
171131,0.0790001054741061,0.1714683668967994,0.0002557329079247,0.5879487954582239,-13973,-397,-397,-7939.0,-1231.0,0.0880984756315751,162000.0,213322.5,16852.5,0.1248333333333333,0.02461
131534,0.033048,0.3001077565791181,0.5954492378866433,0.5281335469124872,-17201,-722,-722,-10975.0,-5285.0,0.3072495785128771,1125000.0,1125000.0,37179.0,0.1836,0.016612
202843,0.0426038290648276,0.2678689358444539,0.4172309669350483,0.5648011811856261,-13649,-3654,-3654,-2818.0,-1262.0,0.0924609861528317,553999.5,553999.5,23602.5,0.1165555555555555,0.00712
305048,0.0292341772151898,0.2735646775174348,0.3585684988353451,0.3915404310393313,-13258,-3905,-3905,-5842.0,-2476.0,0.1867551666918087,711000.0,711000.0,20785.5,0.1539666666666666,0.0031219999999999
224706,0.048839988751406,0.5370699579791587,0.7347039757395663,0.6329466130815884,-10904,-3527,-3527,-2528.0,-660.0,0.0605282465150403,450000.0,640080.0,31261.5,0.173675,0.035792
117049,0.0993833333333333,0.7136313997323308,0.5954070958251609,0.6627988558234889,-19493,-3033,-3033,-7950.0,-644.0,0.0330375006412558,270000.0,270000.0,26833.5,0.23852,0.030755
209315,0.0292385609500523,0.3927738606031339,0.7823909963288883,0.5581848704272486,-9300,-1952,-1952,-4111.0,-668.0,0.0718279569892473,1125000.0,1288350.0,37669.5,0.2790333333333333,0.009175
167726,0.0747644783083783,0.7544061731797895,0.6952840024937271,0.3433138030923668,-19372,-2912,-2912,-10239.0,-3405.0,0.1757691513524674,675000.0,761872.5,56961.0,0.25316,0.002506
199530,0.046549039196098,0.4722533429586386,0.315979242723702,0.5297237364064625,-14079,-4926,-4926,-1844.0,-3085.0,0.2191206761843881,495000.0,612612.0,28516.5,0.1810571428571428,0.020246
452566,0.0513507981989357,0.1317701325313814,0.7150061721384624,0.3951536933536624,-19419,-81,-81,-4036.0,-206.0,0.0106081672588701,315000.0,439740.0,22581.0,0.0334533333333333,0.04622
430291,0.0482654600301659,0.6817058776720116,0.52927638450755,0.4267048887665661,-13760,-4716,-4716,-1074.0,-255.0,0.018531976744186,675000.0,835380.0,40320.0,0.256,0.010147
151140,0.0559931802486187,0.7407990879702335,0.4323777797187303,0.5922933523032232,-15444,-2721,-2721,-2115.0,-3777.0,0.2445609945609945,720000.0,834048.0,46701.0,0.1789310344827586,0.00963
246132,0.0729438012542209,0.5172965813614878,0.5354987459224789,0.1039991222106622,-8616,-1276,-1276,-3012.0,-479.0,0.0555942432683379,675000.0,746280.0,54436.5,0.2880238095238095,0.025164
197180,0.1102473498233215,0.1519345490496476,0.5442550963005554,0.6321473820441624,-19997,-3514,-3514,-10326.0,-5522.0,0.2761414212131819,45000.0,50940.0,5616.0,0.0832,0.003813
